id_estacion,estacion_ruta,tipo_servicio,tipo_servicio_agrupado,zona_largo,zona,corredor_servicio,gps_latitud,gps_longitud,Nombre_estacion
22,A17A,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A17A
23,A17B,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A17B
24,A17C,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A17C
25,A17D,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A17D
26,A17E,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A17E
27,A17F,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A17F
28,A18,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A18
29,A19A,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A19A
30,A19B,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A19B
31,A21,Rutas,Alimentadoras,Zona 2 - Menga,Dos,Ruta,0,0,A21
32,A22,Rutas,Alimentadoras,Zona 2 - Menga,Dos,Ruta,0,0,A22
33,A23,Rutas,Alimentadoras,Zona 2 - Menga,Dos,Ruta,0,0,A23
34,A31,Rutas,Alimentadoras,Zona 3 - Paso Del Comercio,Tres,Ruta,0,0,A31
35,A32,Rutas,Alimentadoras,Zona 3 - Paso Del Comercio,Tres,Ruta,0,0,A32
36,A33,Rutas,Alimentadoras,Zona 3 - Paso Del Comercio,Tres,Ruta,0,0,A33
37,A35A,Rutas,Alimentadoras,Zona 3 - Paso Del Comercio,Tres,Ruta,0,0,A35A
38,A36,Rutas,Alimentadoras,Zona 3 - Paso Del Comercio,Tres,Ruta,0,0,A36
39,A37A,Rutas,Alimentadoras,Zona 3 - Paso Del Comercio,Tres,Ruta,0,0,A37A
40,A37B,Rutas,Alimentadoras,Zona 3 - Paso Del Comercio,Tres,Ruta,0,0,A37B
41,A41A,Rutas,Alimentadoras,Zona 4 - Andrés Sanín,Cuatro,Ruta,0,0,A41A
42,A42B,Rutas,Alimentadoras,Zona 4 - Andrés Sanín,Cuatro,Ruta,0,0,A42B
43,A44A,Rutas,Alimentadoras,Zona 4 - Andrés Sanín,Cuatro,Ruta,0,0,A44A
44,A44B,Rutas,Alimentadoras,Zona 4 - Andrés Sanín,Cuatro,Ruta,0,0,A44B
45,A46,Rutas,Alimentadoras,Zona 4 - Andrés Sanín,Cuatro,Ruta,0,0,A46
46,A47,Rutas,Alimentadoras,Zona 4 - Andrés Sanín,Cuatro,Ruta,0,0,A47
47,A52,Rutas,Alimentadoras,Zona 5 - Aguablanca,Cinco,Ruta,0,0,A52
48,A54,Rutas,Alimentadoras,Zona 5 - Aguablanca,Cinco,Ruta,0,0,A54
49,A55,Rutas,Alimentadoras,Zona 5 - Aguablanca,Cinco,Ruta,0,0,A55
